age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_ihd,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,ihd,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,ihd,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,ihd,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,ihd,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,ihd,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,ihd,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,ihd,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,ihd,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,ihd,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,ihd,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,ihd,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,ihd,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,ihd,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,ihd,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,ihd,0,50,10,0,0,5
15,female,1.1565661249276357e-4,1.5682316363577943e-5,6.299617465749424e-7,4.354589967500697e-6,6338,ihd,0,50,15,0,0,5
16,female,1.1565661249276357e-4,1.5682316363577943e-5,6.299617465749424e-7,4.354589967500697e-6,6338,ihd,0,50,15,0,0,5
17,female,1.1565661249276357e-4,1.5682316363577943e-5,6.299617465749424e-7,4.354589967500697e-6,6338,ihd,0,50,15,0,0,5
18,female,1.1565661249276357e-4,1.5682316363577943e-5,6.299617465749424e-7,4.354589967500697e-6,6338,ihd,0,50,15,0,0,5
19,female,1.1565661249276357e-4,1.5682316363577943e-5,6.299617465749424e-7,4.354589967500697e-6,6338,ihd,0,50,15,0,0,5
20,female,3.822751832965791e-4,3.601054380331665e-5,1.2422823159685676e-6,1.899737551175435e-5,7828,ihd,0,50,20,0,0,5
21,female,3.822751832965791e-4,3.601054380331665e-5,1.2422823159685676e-6,1.899737551175435e-5,7828,ihd,0,50,20,0,0,5
22,female,3.822751832965791e-4,3.601054380331665e-5,1.2422823159685676e-6,1.899737551175435e-5,7828,ihd,0,50,20,0,0,5
23,female,3.822751832965791e-4,3.601054380331665e-5,1.2422823159685676e-6,1.899737551175435e-5,7828,ihd,0,50,20,0,0,5
24,female,3.822751832965791e-4,3.601054380331665e-5,1.2422823159685676e-6,1.899737551175435e-5,7828,ihd,0,50,20,0,0,5
25,female,8.035572957582101e-4,4.5094570325323886e-5,2.1482615281831815e-6,3.793825237710767e-5,8833,ihd,0,50,25,0,0,5
26,female,8.035572957582101e-4,4.5094570325323886e-5,2.1482615281831815e-6,3.793825237710767e-5,8833,ihd,0,50,25,0,0,5
27,female,8.035572957582101e-4,4.5094570325323886e-5,2.1482615281831815e-6,3.793825237710767e-5,8833,ihd,0,50,25,0,0,5
28,female,8.035572957582101e-4,4.5094570325323886e-5,2.1482615281831815e-6,3.793825237710767e-5,8833,ihd,0,50,25,0,0,5
29,female,8.035572957582101e-4,4.5094570325323886e-5,2.1482615281831815e-6,3.793825237710767e-5,8833,ihd,0,50,25,0,0,5
30,female,0.0015471880793070487,9.642905853019715e-5,6.400467175221248e-6,7.069149569756987e-5,7963,ihd,0,50,30,0,0,5
31,female,0.0015471880793070487,9.642905853019715e-5,6.400467175221248e-6,7.069149569756987e-5,7963,ihd,0,50,30,0,0,5
32,female,0.0015471880793070487,9.642905853019715e-5,6.400467175221248e-6,7.069149569756987e-5,7963,ihd,0,50,30,0,0,5
33,female,0.0015471880793070487,9.642905853019715e-5,6.400467175221248e-6,7.069149569756987e-5,7963,ihd,0,50,30,0,0,5
34,female,0.0015471880793070487,9.642905853019715e-5,6.400467175221248e-6,7.069149569756987e-5,7963,ihd,0,50,30,0,0,5
35,female,0.0029968040657094622,1.9017819375969855e-4,1.6529718138849565e-5,1.2688069051082292e-4,7482,ihd,0,50,35,0,0,5
36,female,0.0029968040657094622,1.9017819375969855e-4,1.6529718138849565e-5,1.2688069051082292e-4,7482,ihd,0,50,35,0,0,5
37,female,0.0029968040657094622,1.9017819375969855e-4,1.6529718138849565e-5,1.2688069051082292e-4,7482,ihd,0,50,35,0,0,5
38,female,0.0029968040657094622,1.9017819375969855e-4,1.6529718138849565e-5,1.2688069051082292e-4,7482,ihd,0,50,35,0,0,5
39,female,0.0029968040657094622,1.9017819375969855e-4,1.6529718138849565e-5,1.2688069051082292e-4,7482,ihd,0,50,35,0,0,5
40,female,0.005695474151539406,3.7278067346060046e-4,3.3758198202887883e-5,2.3102560072412254e-4,6901,ihd,0,50,40,0,0,5
41,female,0.005695474151539406,3.7278067346060046e-4,3.3758198202887883e-5,2.3102560072412254e-4,6901,ihd,0,50,40,0,0,5
42,female,0.005695474151539406,3.7278067346060046e-4,3.3758198202887883e-5,2.3102560072412254e-4,6901,ihd,0,50,40,0,0,5
43,female,0.005695474151539406,3.7278067346060046e-4,3.3758198202887883e-5,2.3102560072412254e-4,6901,ihd,0,50,40,0,0,5
44,female,0.005695474151539406,3.7278067346060046e-4,3.3758198202887883e-5,2.3102560072412254e-4,6901,ihd,0,50,40,0,0,5
45,female,0.009838336272532045,6.443372250738464e-4,7.386784610642684e-5,3.855423791151537e-4,7531,ihd,0,50,45,0,1,5
46,female,0.009838336272532045,6.443372250738464e-4,7.386784610642684e-5,3.855423791151537e-4,7531,ihd,0,50,45,0,1,5
47,female,0.009838336272532045,6.443372250738464e-4,7.386784610642684e-5,3.855423791151537e-4,7531,ihd,0,50,45,0,1,5
48,female,0.009838336272532045,6.443372250738464e-4,7.386784610642684e-5,3.855423791151537e-4,7531,ihd,0,50,45,0,1,5
49,female,0.009838336272532045,6.443372250738464e-4,7.386784610642684e-5,3.855423791151537e-4,7531,ihd,0,50,45,0,1,5
50,female,0.015861272271581243,0.0011336564859285138,1.2299871023649337e-4,5.832236183441094e-4,7629,ihd,0,50,50,1,1,5
51,female,0.015861272271581243,0.0011336564859285138,1.2299871023649337e-4,5.832236183441094e-4,7629,ihd,0,50,50,1,1,5
52,female,0.015861272271581243,0.0011336564859285138,1.2299871023649337e-4,5.832236183441094e-4,7629,ihd,0,50,50,1,1,5
53,female,0.015861272271581243,0.0011336564859285138,1.2299871023649337e-4,5.832236183441094e-4,7629,ihd,0,50,50,1,1,5
54,female,0.015861272271581243,0.0011336564859285138,1.2299871023649337e-4,5.832236183441094e-4,7629,ihd,0,50,50,1,1,5
55,female,0.024482143050371847,0.0018415626309259028,2.2278786406160087e-4,8.478242075948941e-4,6580,ihd,0,50,55,1,1,5
56,female,0.024482143050371847,0.0018415626309259028,2.2278786406160087e-4,8.478242075948941e-4,6580,ihd,0,50,55,1,1,5
57,female,0.024482143050371847,0.0018415626309259028,2.2278786406160087e-4,8.478242075948941e-4,6580,ihd,0,50,55,1,1,5
58,female,0.024482143050371847,0.0018415626309259028,2.2278786406160087e-4,8.478242075948941e-4,6580,ihd,0,50,55,1,1,5
59,female,0.024482143050371847,0.0018415626309259028,2.2278786406160087e-4,8.478242075948941e-4,6580,ihd,0,50,55,1,1,5
60,female,0.03676855425157604,0.003340338380933911,4.3469125420652954e-4,0.0012199672805164109,5725,ihd,0,50,60,2,2,5
61,female,0.03676855425157604,0.003340338380933911,4.3469125420652954e-4,0.0012199672805164109,5725,ihd,0,50,60,2,2,5
62,female,0.03676855425157604,0.003340338380933911,4.3469125420652954e-4,0.0012199672805164109,5725,ihd,0,50,60,2,2,5
63,female,0.03676855425157604,0.003340338380933911,4.3469125420652954e-4,0.0012199672805164109,5725,ihd,0,50,60,2,2,5
64,female,0.03676855425157604,0.003340338380933911,4.3469125420652954e-4,0.0012199672805164109,5725,ihd,0,50,60,2,2,5
65,female,0.058768742187979076,0.005636631590142423,7.545522731391487e-4,0.0018408364343546334,5670,ihd,0,50,65,3,4,5
66,female,0.058768742187979076,0.005636631590142423,7.545522731391487e-4,0.0018408364343546334,5670,ihd,0,50,65,3,4,5
67,female,0.058768742187979076,0.005636631590142423,7.545522731391487e-4,0.0018408364343546334,5670,ihd,0,50,65,3,4,5
68,female,0.058768742187979076,0.005636631590142423,7.545522731391487e-4,0.0018408364343546334,5670,ihd,0,50,65,3,4,5
69,female,0.058768742187979076,0.005636631590142423,7.545522731391487e-4,0.0018408364343546334,5670,ihd,0,50,65,3,4,5
70,female,0.08578849290235581,0.009712368133560264,0.00140629092042197,0.0026357489974116214,5104,ihd,0,50,70,4,7,5
71,female,0.08578849290235581,0.009712368133560264,0.00140629092042197,0.0026357489974116214,5104,ihd,0,50,70,4,7,5
72,female,0.08578849290235581,0.009712368133560264,0.00140629092042197,0.0026357489974116214,5104,ihd,0,50,70,4,7,5
73,female,0.08578849290235581,0.009712368133560264,0.00140629092042197,0.0026357489974116214,5104,ihd,0,50,70,4,7,5
74,female,0.08578849290235581,0.009712368133560264,0.00140629092042197,0.0026357489974116214,5104,ihd,0,50,70,4,7,5
75,female,0.1197194236510381,0.015559356085954632,0.002905516035209883,0.003485271180439614,3792,ihd,0,50,75,6,11,5
76,female,0.1197194236510381,0.015559356085954632,0.002905516035209883,0.003485271180439614,3792,ihd,0,50,75,6,11,5
77,female,0.1197194236510381,0.015559356085954632,0.002905516035209883,0.003485271180439614,3792,ihd,0,50,75,6,11,5
78,female,0.1197194236510381,0.015559356085954632,0.002905516035209883,0.003485271180439614,3792,ihd,0,50,75,6,11,5
79,female,0.1197194236510381,0.015559356085954632,0.002905516035209883,0.003485271180439614,3792,ihd,0,50,75,6,11,5
80,female,0.15088112685664237,0.02229322380416995,0.006135041338802788,0.004385019648117275,2983,ihd,0,20,80,3,18,5
81,female,0.15088112685664237,0.02229322380416995,0.006135041338802788,0.004385019648117275,2983,ihd,0,20,80,3,18,5
82,female,0.15088112685664237,0.02229322380416995,0.006135041338802788,0.004385019648117275,2983,ihd,0,20,80,3,18,5
83,female,0.15088112685664237,0.02229322380416995,0.006135041338802788,0.004385019648117275,2983,ihd,0,20,80,3,18,5
84,female,0.15088112685664237,0.02229322380416995,0.006135041338802788,0.004385019648117275,2983,ihd,0,20,80,3,18,5
85,female,0.16794431345308702,0.029928672645149586,0.014244382702061516,0.005035516415411436,2001,ihd,0,20,85,3,28,5
86,female,0.16794431345308702,0.029928672645149586,0.014244382702061516,0.005035516415411436,2001,ihd,0,20,85,3,28,5
87,female,0.16794431345308702,0.029928672645149586,0.014244382702061516,0.005035516415411436,2001,ihd,0,20,85,3,28,5
88,female,0.16794431345308702,0.029928672645149586,0.014244382702061516,0.005035516415411436,2001,ihd,0,20,85,3,28,5
89,female,0.16794431345308702,0.029928672645149586,0.014244382702061516,0.005035516415411436,2001,ihd,0,20,85,3,28,5
90,female,0.1527674544016155,0.03549179600463611,0.02471166198601705,0.004961897355366996,1019,ihd,0,10,90,2,25,5
91,female,0.1527674544016155,0.03549179600463611,0.02471166198601705,0.004961897355366996,1019,ihd,0,10,90,2,25,5
92,female,0.1527674544016155,0.03549179600463611,0.02471166198601705,0.004961897355366996,1019,ihd,0,10,90,2,25,5
93,female,0.1527674544016155,0.03549179600463611,0.02471166198601705,0.004961897355366996,1019,ihd,0,10,90,2,25,5
94,female,0.1527674544016155,0.03549179600463611,0.02471166198601705,0.004961897355366996,1019,ihd,0,10,90,2,25,5
95,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
96,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
97,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
98,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
99,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
100,female,0.09223128572472185,0.03897151674922218,0.045128967370169776,0.004165200596600668,275,ihd,0,10,95,1,12,6
